Site URL,token vul,secret vul,signed_request vul,referrer vul,DOM vul
http://www.collegeprowler.com,10,10,10,10,10
http://www.thefreelibrary.com,22,1,22,1,1
http://www.wpcentral.com,1,1,1,1,1
http://www.linksys.com,1,1,1,1,1
http://www.whiotv.com,1,1,1,1,1
http://www.automobilemag.com,1,1,1,1,1
http://www.pizap.com,1,1,-1,1,1
http://www.knoxnews.com,13,1,13,1,1
http://www.crosscards.com,1,1,1,1,1
http://www.trails.com,1,1,1,1,1
http://www.tennessean.com,12,1,12,1,1
http://www.coolsavings.com,3,1,3,1,1
http://www.hi5.com,1,1,1,1,1
http://www.redrobin.com,1,1,1,1,1
http://www.crunchbase.com,10,10,10,10,10
http://www.mynewplace.com,-1,1,-1,1,1
http://www.topspeed.com,1,1,1,1,1
http://www.menupix.com,10,10,10,10,10
http://www.justdial.com,1,1,1,1,1
http://www.palmbeachpost.com,1,1,1,1,1
http://www.windstream.net,1,1,1,1,1
http://www.lyrics.com,1,1,1,1,1
http://www.kirotv.com,1,1,1,1,1
http://www.officer.com,1,1,1,1,1
http://www.repubblica.it,1,1,1,1,1
http://www.smarturl.it,1,1,1,1,1
http://www.atgstores.com,20,1,20,1,1
http://www.vw.com,1,1,1,1,1
http://www.jackspade.com,1,1,1,1,1
http://www.joyus.com,1,1,-1,1,1
http://www.manualslib.com,1,1,1,1,1
http://www.pawnation.com,1,1,1,1,1
http://www.vube.com,-1,1,-1,1,1
http://www.hotelsavings.com,-1,1,-1,1,1
http://www.wsoctv.com,1,1,1,1,1
http://www.aarp.net,1,1,1,1,1
http://www.ktvu.com,1,1,1,1,1
http://www.photo.net,1,1,1,-1,-1
http://www.sonyrewards.com,11,1,11,1,-1
http://www.gobookee.net,20,1,20,1,1
http://www.vk.com,1,1,1,1,1
http://www.theberry.com,1,1,1,1,1
http://www.journalstar.com,2,2,2,2,2
http://www.myview.com,12,1,12,1,1
http://www.armorgames.com,23,1,23,1,1
http://www.homescape.com,1,1,1,1,1
http://www.pixdaus.com,1,1,1,1,1
http://www.givemesport.com,1,1,1,1,1
http://www.rgj.com,12,1,12,1,1
http://www.adage.com,1,1,1,1,1
http://www.memory-alpha.org,1,1,1,1,1
http://www.mandatory.com,1,1,1,1,1
http://www.gamefly.com,1,1,1,1,1
http://www.blekko.com,1,1,1,1,1
http://www.quibblo.com,11,1,11,1,1
http://www.kitchendaily.com,1,1,1,1,1
http://www.southernsavers.com,1,1,1,1,1
http://www.outsideonline.com,10,10,10,10,10
http://www.channel4embarrassingillnesses.com,14,14,14,14,14
http://www.toluna.com,-1,1,1,-1,1
http://www.kennedy-center.org,-1,1,-1,1,1
http://www.irishcentral.com,12,1,12,1,1
http://www.fabkids.com,12,1,12,1,1
http://www.americasjobexchange.com,1,1,1,1,1
http://www.jobsense.com,1,1,1,1,1
http://www.newspaperarchive.com,1,1,1,1,1
http://www.videojug.com,16,1,16,1,1
http://www.visual.ly,-1,1,-1,1,1
http://www.docusign.com,1,1,1,1,1
http://www.reverso.net,1,1,1,1,1
http://www.nickmom.com,1,1,1,1,1
http://www.wellsphere.com,16,1,16,1,1
http://www.womansday.com,2,2,2,2,2
http://www.cycletrader.com,1,1,1,1,1
http://www.courier-journal.com,12,1,12,1,1
http://www.yandex.ru,1,1,1,1,1
http://www.delicious.com,1,1,1,1,1
http://www.myxer.com,12,1,12,1,1
http://www.newbalance.com,1,1,1,1,1
http://www.daytondailynews.com,1,1,1,1,1
http://www.huffingtonpost.co.uk,1,1,1,1,1
http://www.craftsy.com,1,1,1,1,1
http://www.metacritic.com,1,1,1,1,1
http://www.univision.com,1,1,1,1,1
http://www.halfoffdeals.com,1,1,1,-1,-1
http://www.trendhunter.com,1,1,1,1,1
http://www.scmp.com,-1,1,-1,1,1
http://www.democratandchronicle.com,12,1,12,1,1
http://www.clarionledger.com,12,1,12,1,1
http://www.webutation.net,1,1,1,1,1
http://www.streetdirectory.com,1,1,1,1,1
http://www.payscale.com,-1,1,-1,1,1
http://www.over-blog.com,13,1,13,1,1
http://www.yumsugar.com,-1,1,-1,1,1
http://www.9wsyr.com,11,1,11,1,1
http://www.likes.com,1,1,-1,1,1
http://www.patriotdepot.com,1,1,1,1,1
http://www.aflcio.org,1,1,1,1,1
http://www.slashdot.org,1,1,1,1,1
http://www.goodsearch.com,1,1,1,1,1
http://www.tingo.com,1,1,1,1,1
http://www.yellowbot.com,1,1,1,1,1
http://www.fox23.com,1,1,1,1,-1
http://www.lehighvalleylive.com,1,1,1,1,1
http://www.homefinder.com,1,1,1,1,1
http://www.weddingbee.com,1,1,1,1,1
http://www.deluxe.com,1,1,1,1,1
http://www.towleroad.com,1,1,1,1,1
http://www.realself.com,1,1,1,1,1
http://www.makeupalley.com,1,1,1,1,1
http://www.thedailymeal.com,1,1,1,1,1
http://www.theweathernetwork.com,23,1,23,1,1
http://www.silive.com,1,1,1,1,1
http://www.meez.com,22,1,22,1,1
http://www.beyonddiet.com,12,1,12,1,1
http://www.homesnap.com,1,1,-1,1,1
http://www.kidcity.com,1,1,1,1,1
http://www.vegas.com,10,10,10,10,10
http://www.gamewise.co,1,1,1,1,1
http://www.cookingchanneltv.com,1,1,1,1,1
http://www.freeonlinegames.com,-1,1,-1,1,1
http://www.getsatisfaction.com,20,1,20,1,1
http://www.huffingtonpost.ca,1,1,1,1,1
http://www.hoursmap.com,10,10,10,10,10
http://www.la-z-boy.com,12,1,12,1,1
http://www.expedia.fr,1,1,-1,1,1
http://www.avvo.com,1,1,1,1,1
http://www.clipnation.com,16,1,16,1,1
http://www.automotive.com,1,1,1,1,1
http://www.ziplist.com,1,1,1,1,1
http://www.rubylane.com,1,1,1,1,1
