Site,Reg,Clicks,Score1,VSr1,ISr1,VRr1,IRr1,FB1,Facebook1,OAuth1,login1,signin1,connect1,account1,forum1,Score2,VSr2,ISr2,VRr2,IRr2,FB2,Facebook2,OAuth2,login2,signin2,connect2,account2,forum2
http://www.scientificamerican.com,error,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.gourmetrecipe.com,error,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.myfitnesspal.com,TRUE,1,14,-1,0,-1,0,0,3,0,3,0,0,0,0,,,,,,,,,,,,,
http://www.jokeroo.com,TRUE,1,11,-1,0,-1,0,0,2,0,1,0,0,0,0,,,,,,,,,,,,,
http://www.cancer.org,TRUE,2,7,0,0,0,0,0,0,0,0,3,0,1,0,30,-1,0,-1,1,2,0,0,2,0,0,0,0
http://www.orlandosentinel.com,error,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.lonelyplanet.com,TRUE,2,8,0,0,0,0,0,0,0,1,3,0,0,0,20,1,1,1,1,0,2,0,0,0,0,0,0
http://www.menuism.com,FALSE,1,16,0,0,0,0,1,3,0,2,0,2,0,0,,,,,,,,,,,,,
http://www.nasdaq.com,FALSE,2,7,0,0,0,0,0,0,0,3,0,0,0,0,20,-1,1,-1,1,2,0,0,0,0,0,0,0
http://www.blip.tv,TRUE,2,11,0,0,0,0,0,1,0,2,0,0,0,0,19,0,1,0,1,0,1,0,1,0,0,0,0
http://www.happyplace.com,error,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.yummly.com,FALSE,1,12,0,0,0,0,0,3,0,0,1,0,0,0,,,,,,,,,,,,,
http://www.offerpop.com,TRUE,1,13,-1,0,-1,0,1,1,0,2,1,0,0,0,,,,,,,,,,,,,
http://www.zabasearch.com,FALSE,1,14,0,1,0,1,0,3,0,2,0,1,0,0,,,,,,,,,,,,,
http://www.syracuse.com,FALSE,2,13,-1,0,-1,0,2,1,0,0,2,0,0,0,49,0,0,0,0,0,4,0,1,0,0,0,0
http://www.americanlanternalerts.com,error,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wsbtv.com,FALSE,2,14,-1,0,-1,0,0,0,0,0,10,0,0,0,10,-1,5,-1,5,0,1,0,0,0,0,0,0
http://www.bloglovin.com,TRUE,1,13,0,1,0,1,2,2,0,1,0,0,0,0,,,,,,,,,,,,,
http://www.americanidol.com,error,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.diynetwork.com,FALSE,2,7,0,0,0,0,0,0,0,2,1,0,0,0,19,3,3,1,1,1,0,0,1,0,0,1,0
http://www.kraftrecipes.com,TRUE,2,10,0,0,0,0,0,0,0,1,5,0,0,0,41,0,1,0,1,1,2,0,1,2,0,0,0
http://www.travelandleisure.com,TRUE,2,6,0,0,0,0,0,0,0,2,0,0,0,0,39,-1,0,-1,0,0,3,0,0,1,0,0,0
